mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first,se_efficiency,se_resources,se_time_to_first
2.0,1e-05,0.3875016904667983,558.9,984.5,2.576094188101321,41.48480310775126,541.3073166982977,0.5760321721036683,9.276283978212636,121.03999568554005
2.0,0.0001,0.36607976963706057,539.1,645.0,2.033793085586971,40.687016766203605,600.3628532442323,0.45476995915415147,9.097893529090493,134.24521510198335
2.0,0.001,0.2882492364668328,479.4,1041.4,1.2877892172506642,34.664102469269274,634.5472926950888,0.287958423046373,7.751128950030441,141.88908814046744
2.0,0.01,0.17325790385442558,319.7,534.0,0.841306846410566,22.216360337973157,301.0455853262832,0.18812192985100004,4.967729192833818,67.31583931157823
2.0,0.1,0.1082466029726188,203.3,629.5,0.8457925198950311,24.87323416401208,625.4355371348122,0.1891249569346133,5.5618242411001155,139.8516376577534
2.0,0.999,0.10708078664220676,182.2,1628.1,0.31299965323570955,12.95976680174283,155.8128863591056,0.06998885015689085,2.8978919541242005,34.84082056694098
