mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
2.0,"    0.00001
Name: 0, dtype: float64",0.30785222054569494,244.1,386.9,3.0723096228037474,49.84520482899478,253.07769997023092
2.0,"    0.0001
Name: 1, dtype: float64",0.29121740080205666,229.7,334.4,5.910383945878545,42.30064354645736,280.06792826820504
2.0,"    0.001
Name: 2, dtype: float64",0.24190139776548156,197.9,601.3,1.5353370126049826,30.592119537190907,195.7634910917877
2.0,"    0.01
Name: 3, dtype: float64",0.18510337365221843,151.2,518.8,0.9623007990097628,13.289929353545197,299.0331828483997
2.0,"    0.1
Name: 4, dtype: float64",0.14500931029126798,120.9,335.7,0.3729995991254288,9.255028663140678,242.98424731748443
2.0,"    0.999
Name: 5, dtype: float64",0.15354981582709526,126.1,321.4,0.9049562375331061,11.55133469921694,159.71794583647207
