mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first,se_efficiency,se_resources,se_time_to_first
2.0,1e-05,0.18885587664701214,149.0,499.7,0.0,0.0,323.08514529626876,0.0,0.0,97.41383657138012
2.0,0.0001,0.18338935927726116,149.0,576.8,0.0,0.0,205.21847436871326,0.0,0.0,61.87569813910805
2.0,0.001,0.15836188262255918,149.0,603.8,0.0,0.0,269.0054935415921,0.0,0.0,81.10820805653034
2.0,0.01,0.1275778591153809,132.0,156.9,0.41061324807608796,10.413666234542205,116.33519578260818,0.12380455252886409,3.139838508360877,35.07638130213157
2.0,0.1,0.08152007530563338,88.2,164.2,0.25531102202188016,5.977736472389305,55.487335892475905,0.0769791695353401,1.8023553613216368,16.730061251978412
2.0,0.999,0.1014945522892173,104.1,184.6,0.4809724541406364,12.600264547487354,54.189379853333705,0.14501865135281003,3.7991227057484385,16.33871278141382
