mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first,se_efficiency,se_resources,se_time_to_first
2.0,1e-05,0.4787813330822192,681.7,492.7,1.6000877168754726,38.54016663747634,537.8866154786816,0.292134712173212,7.0364395457846065,98.20421089259379
2.0,0.0001,0.47662396390249406,693.5,517.6,1.444258642180552,34.73790756827794,486.40020102335023,0.26368434573135685,6.342245191891753,88.80412069184544
2.0,0.001,0.3736561532867797,608.7,538.6,0.9607949803464282,26.05144483090674,460.85022874393076,0.17541636129115715,4.756321329829659,84.13935530482219
2.0,0.01,0.22699634790539008,416.5,326.1,0.6189081698678232,28.167159758997517,140.94321157433902,0.11299665522028196,5.142596260284906,25.732592102162897
2.0,0.1,0.14734438929969276,271.6,145.6,1.1248255109739198,30.48569792177601,195.43012391474693,0.20536410187256354,5.565901477681694,35.68049576137891
2.0,0.999,0.14620242489059065,246.5,245.3,0.8966017691529957,27.78588770501232,224.78980305066233,0.16369633802137845,5.072985825446899,41.04081527599712
