mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
1.1,1e-05,0.029506871523413386,3.1,69.0,0.09330892063994864,9.803060746521975,
1.1,0.0031622776601683794,0.0,0.0,,0.0,0.0,
1.1,1.0,0.0,0.0,,0.0,0.0,
2.0,1e-05,0.0,0.0,,0.0,0.0,
2.0,0.0031622776601683794,0.0677038727903011,4.4,78.0,0.19512264288354278,12.57157287074471,25.45584412271571
2.0,1.0,0.0,0.0,,0.0,0.0,
3.1,1e-05,0.13628981367690243,5.1,49.0,0.4309862330989794,16.127616066858735,
3.1,0.0031622776601683794,0.13264233585250168,5.8,42.0,0.41945189545891737,18.3412104289766,
3.1,1.0,0.0,0.0,,0.0,0.0,
