mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first,se_efficiency,se_resources,se_time_to_first
2.0,1e-05,0.12955085184719728,105.4,166.1,0.2982900049004854,10.057611821677925,103.97376805927756,0.0544600547874408,1.8362602897878753,18.982926051625487
2.0,0.0001,0.11850288738609263,102.2,153.8,0.15278337392169913,6.69659946871876,160.82274576550284,0.02789430010288705,1.222626195864792,29.36208187189478
2.0,0.001,0.06566054671166453,102.6,238.0,0.07916608991993346,7.589466384404111,287.7097302645305,0.014453684412876635,1.3856406460551018,52.528369759870046
2.0,0.01,0.024020359610396266,108.7,184.8,0.14191427986108957,12.832683966254985,132.91584639245323,0.02590988410400662,2.342916827217573,24.26700243967943
2.0,0.1,0.012105624849887574,94.5,492.1,0.05676263325209173,3.9228674319799426,281.58971335378476,0.010363391551854489,0.7162143275325925,51.41101265509387
2.0,0.999,0.014329807432198282,99.6,298.7,0.09162368698601904,7.121173436387512,329.01808460934177,0.016728120054678386,1.3001424423386734,60.070208922559935
