mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
1.1,"    0.00001
Name: 0, dtype: float64",0.18478688098572332,182.9,480.4,3.6174160287013652,36.692263792552,352.7193407418047
1.1,"    0.000178
Name: 1, dtype: float64",0.19757089623438426,195.7,431.9,0.5509982290857439,9.42867965305854,264.0199697834322
1.1,"    0.003162
Name: 2, dtype: float64",0.1413042522978443,150.9,466.6,1.9238862149560836,27.90639114372668,241.51199648142625
1.1,"    0.056234
Name: 3, dtype: float64",0.0713347345734259,80.9,585.3,0.45453147756286955,7.752418977325721,246.72524079316335
1.1,"    1.0
Name: 4, dtype: float64",0.07941008135251575,88.3,676.9,1.2384348932371922,34.29625829931501,320.6283587651667
2.0,"    0.00001
Name: 0, dtype: float64",0.316107997732242,226.4,552.1,2.2363776275146914,42.11149222929268,307.8738738870549
2.0,"    0.000178
Name: 1, dtype: float64",0.31038703569086445,235.0,521.1,2.775166122148181,46.35371254459201,407.7015384376719
2.0,"    0.003162
Name: 2, dtype: float64",0.1978040770959343,178.2,596.3,1.1353140278470586,20.76214504011247,244.8423755988511
2.0,"    0.056234
Name: 3, dtype: float64",0.08493748651218716,84.1,151.6,0.7028424264484837,33.167755426015795,117.5634107856503
2.0,"    1.0
Name: 4, dtype: float64",0.0834387496557724,70.0,146.9,1.184317402464463,35.10302297840205,23.240051635054513
3.1,"    0.00001
Name: 0, dtype: float64",0.48209379001347347,228.1,484.5,3.293827784128753,45.53984824060987,315.5278645909634
3.1,"    0.000178
Name: 1, dtype: float64",0.387223535920532,200.8,378.3,3.3276319332572064,67.62281008982431,356.5401800639025
3.1,"    0.003162
Name: 2, dtype: float64",0.23037774919416057,148.1,331.5,1.0828454861478767,43.97335051546057,215.1481401783948
3.1,"    0.056234
Name: 3, dtype: float64",0.08106198571363445,70.2,185.3,0.15484185552503,10.507140429250963,214.11889220711004
3.1,"    1.0
Name: 4, dtype: float64",0.0770249441538981,49.9,144.3,0.8827956313975002,16.60956886188735,167.4647890022125
