mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
2.0,"    0.00001
Name: 0, dtype: float64",0.3978100213690876,301.4,482.2,0.8800814502889995,15.407069084604567,365.74210707667896
2.0,"    0.000178
Name: 1, dtype: float64",0.3858689212898237,301.0,181.4,2.034119931591426,30.586852658545233,173.64791965353342
2.0,"    0.003162
Name: 2, dtype: float64",0.27798114781886973,230.2,308.0,1.4219135595118144,32.08945828980809,299.482887658043
2.0,"    0.056234
Name: 3, dtype: float64",0.2028232393943595,169.6,264.7,1.5530268796953473,26.808787945580665,243.4041221234075
2.0,"    1.0
Name: 4, dtype: float64",0.19448220447792036,162.2,353.7,1.569301989248293,16.21933003137511,253.35484557785307
