mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first,se_efficiency,se_resources,se_time_to_first
2.0,1e-05,0.13976248630694765,100.0,107.0,0.0,0.0,137.65254164824645,0.0,0.0,25.131800719554647
2.0,0.0001,0.13874551171471539,101.2,263.7,0.3080061255400101,4.871686908385365,114.85454569439847,0.0562339676026772,0.8894442709417559,20.969475169609964
2.0,0.001,0.11887973004173576,103.0,210.9,0.34547711848288065,7.958224257542215,198.42292094300888,0.06307520363165289,1.4529663145135578,36.226903242183404
2.0,0.01,0.10644627952202393,109.3,350.1,0.5633555788525771,15.463577277661926,186.76690760886356,0.1028541861446456,2.8232500315665883,34.09881609761927
2.0,0.1,0.07902082464598255,83.3,339.2,0.5416506727776579,8.219894565422763,181.08794671221062,0.09889143058939087,1.5007405579320572,33.06198443552375
2.0,0.999,0.08108221497794846,82.3,308.1,0.41981162122738164,12.987600924642617,212.44735295545055,0.07664676494968385,2.371200664767238,38.78740249865403
