mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
2.0,"    0.00001
Name: 0, dtype: float64",0.4496288022775751,355.4,312.6,3.057744832376901,41.6711997534135,258.8835860210359
2.0,"    0.0001
Name: 1, dtype: float64",0.43955703634816173,354.7,514.7,1.7057138981972382,35.27054169007205,331.2354147732395
2.0,"    0.001
Name: 2, dtype: float64",0.38659236285285326,327.5,362.3,2.3854985694384796,28.806827894326254,256.5324540871973
2.0,"    0.01
Name: 3, dtype: float64",0.2623840458303111,228.0,229.0,1.0872206476435413,20.537229067665816,130.08202540448596
2.0,"    0.1
Name: 4, dtype: float64",0.22533489013200272,196.5,164.5,1.312245130902544,24.396037929685757,227.90409776433987
2.0,"    0.999
Name: 5, dtype: float64",0.21235676107562723,183.4,241.0,0.8572954518111116,14.151560573543359,245.80796479275352
