mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
2.0,"    0.00001
Name: 0, dtype: float64",0.2799873474029493,221.7,521.0,2.815956962420358,41.606756929881264,329.1757382716209
2.0,"    0.0001
Name: 1, dtype: float64",0.2707439871489018,222.3,514.8,2.452141554079132,41.574698502280874,298.24553642929845
2.0,"    0.001
Name: 2, dtype: float64",0.2233194997448137,207.2,329.0,0.8718982193701706,18.109543217750012,295.7374962135621
2.0,"    0.01
Name: 3, dtype: float64",0.14348906450761997,149.6,338.1,0.897617006222257,16.747802509251446,183.19597884960976
2.0,"    0.1
Name: 4, dtype: float64",0.08520497015189782,94.6,758.1,0.18704200153315703,9.39503414930817,289.02804554421897
2.0,"    0.999
Name: 5, dtype: float64",0.08142274385614386,90.6,568.7,0.1202252061840874,7.515909052728677,145.98177207370026
