mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first,se_efficiency,se_resources,se_time_to_first
2.0,1e-05,0.04957766162233288,149.0,247.9,0.0,0.0,220.69156455711365,0.0,0.0,56.98231694521068
2.0,0.0001,0.05981765897778268,149.0,161.0,0.0,0.0,120.82126376502514,0.0,0.0,31.1959161619784
2.0,0.001,0.043151162836387216,149.0,222.9,0.0,0.0,114.02772567328626,0.0,0.0,29.44183216923637
2.0,0.01,0.03370049265757198,141.1,359.8,0.05256451444576376,2.99814757623585,219.06051928887393,0.013572099269994815,0.7741183754822386,56.561182867823824
2.0,0.1,0.026427122386632865,112.7,390.5,0.2107839839342293,8.692908987598264,315.1797547079726,0.05442419062830146,2.24449944927099,81.3790627363811
2.0,0.999,0.03508002696261948,131.2,294.5,0.33415677239227587,10.517709932405543,116.48581220236413,0.08627890763318045,2.7156610272298,30.07650738194673
