mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
1.1,1e-05,0.057882525574735985,54.4,575.8,0.06250455243693809,58.82403137040734,296.9910773070464
1.1,0.00017782794100389227,0.08667611143349506,81.3,416.7142857142857,0.079682254847247,75.66600587082976,300.7882501504529
1.1,0.0031622776601683794,0.06247055909943657,58.7,440.55555555555554,0.05296523054088045,48.98083525443622,243.2643166964234
1.1,0.05623413251903491,0.05342429871191716,50.3,331.5,0.026588919132908458,24.79269605706039,362.1031927810389
1.1,1.0,0.04322036727944442,41.0,161.1,0.027045808959504092,25.41653005427767,182.11989335477753
2.0,1e-05,0.13874748869631656,90.0,404.375,0.08955713683634045,56.76462121975467,213.79692467385962
2.0,0.00017782794100389227,0.09045316354360936,59.3,252.6,0.10744888940654106,69.5094717766339,185.89055920083732
2.0,0.0031622776601683794,0.08713755101689132,61.7,324.3,0.04918673362383266,34.989045904873336,264.3285203428996
2.0,0.05623413251903491,0.08718860758876323,61.6,194.7,0.04342163435661968,31.013258813324054,241.02053854391744
2.0,1.0,0.06861440071188757,47.9,290.7,0.033120649622947806,22.022463279317527,278.8010242289492
3.1,1e-05,0.17310278666067086,71.3,522.5714285714286,0.1645909922158782,66.10774034357348,248.37730515142826
3.1,0.00017782794100389227,0.17393367006993438,74.9,494.3,0.08341553086364487,35.31587619061873,340.68462118374396
3.1,0.0031622776601683794,0.08275918914254024,37.4,635.2222222222222,0.09125597134833432,39.51146106581678,214.42060172577737
3.1,0.05623413251903491,0.09857972190458018,46.1,602.7,0.046452131334036494,19.795903055374307,244.56357955436548
3.1,1.0,0.0777241822857496,36.7,177.4,0.03531616663554912,16.44553299700425,127.62288196087721
