mu,alpha,avg_efficiency,avg_resources,avg_time_to_first,std_efficiency,std_resources,std_time_to_first
1.1,"    0.00001
Name: 0, dtype: float64",0.2205962572555829,217.0,429.4,3.2781264587737793,59.63779562212764,322.98476056240725
1.1,"    0.000178
Name: 1, dtype: float64",0.1956259169094396,194.7,369.7,2.9231671309975007,49.94452478055583,156.47083505312492
1.1,"    0.003162
Name: 2, dtype: float64",0.15593371206196804,156.2,300.5,1.9016733693870287,26.007691170113507,232.9736513475767
1.1,"    0.056234
Name: 3, dtype: float64",0.12075794213528561,120.9,408.6,0.8693712935594947,14.783248778412828,282.24150415321037
1.1,"    1.0
Name: 4, dtype: float64",0.10536784237391905,105.6,364.1,1.4446055556300577,18.27080245151324,214.4841097455318
2.0,"    0.00001
Name: 0, dtype: float64",0.31073823231620334,221.9,504.6,2.4799543365035843,34.39783584923783,304.2591001104158
2.0,"    0.000178
Name: 1, dtype: float64",0.2898640744313278,213.9,558.6,1.2787954474085264,41.82091449130314,255.39129020213497
2.0,"    0.003162
Name: 2, dtype: float64",0.21815547150260384,170.4,477.7,0.7014082359882252,28.601476263375712,341.436524115391
2.0,"    0.056234
Name: 3, dtype: float64",0.15516232622527984,124.3,124.0,0.5704029932793774,15.202704437771006,65.88879520323113
2.0,"    1.0
Name: 4, dtype: float64",0.17112936840322776,134.9,358.1,1.0299028630439884,22.609978131592943,160.1162424962287
3.1,"    0.00001
Name: 0, dtype: float64",0.42354804956421627,195.4,533.4,3.678779662505952,49.33378378172733,411.7602322819542
3.1,"    0.000178
Name: 1, dtype: float64",0.38911465439554366,196.5,262.5,0.6632262903552133,18.566696588844827,167.56640474749108
3.1,"    0.003162
Name: 2, dtype: float64",0.2494821204753346,127.8,307.2,1.0924590825907536,14.604413336005283,266.94144176828996
3.1,"    0.056234
Name: 3, dtype: float64",0.1640990405636863,87.8,454.4,0.6497616387900177,13.281566172707192,280.6869351351351
3.1,"    1.0
Name: 4, dtype: float64",0.18089844181901774,96.1,328.4,0.9981009289179643,16.835478411180755,391.543157831221
